model,arm,base,budget,task,score
llama3_8b,probe2,snapkv,128,passage_retrieval_en,99.50
llama3_8b,probe2,snapkv,128,qasper,33.18
llama3_8b,probe2,snapkv,128,qmsum,22.93
llama3_8b,probe2,snapkv,128,repobench,53.15
llama3_8b,probe2,snapkv,128,samsum,40.44
llama3_8b,probe2,snapkv,128,trec,52.50
llama3_8b,probe2,snapkv,128,triviaqa,90.36
llama3_8b,probe4,laprox,128,2wikimqa,48.02
llama3_8b,probe4,laprox,128,gov_report,20.31
llama3_8b,probe4,laprox,128,hotpotqa,56.21
llama3_8b,probe4,laprox,128,lcc,59.29
llama3_8b,probe4,laprox,128,multi_news,19.50
llama3_8b,probe4,laprox,128,multifieldqa_en,53.13
llama3_8b,probe4,laprox,128,musique,30.30
llama3_8b,probe4,laprox,128,narrativeqa,28.70
llama3_8b,probe4,laprox,128,passage_count,12.00
llama3_8b,probe4,laprox,128,passage_retrieval_en,99.50
llama3_8b,probe4,laprox,128,qasper,34.09
llama3_8b,probe4,laprox,128,qmsum,23.21
llama3_8b,probe4,laprox,128,repobench,53.17
llama3_8b,probe4,laprox,128,samsum,40.29
llama3_8b,probe4,laprox,128,trec,54.00
llama3_8b,probe4,laprox,128,triviaqa,90.94
llama3_8b,probe4,snapkv,128,2wikimqa,47.75
llama3_8b,probe4,snapkv,128,gov_report,20.37
llama3_8b,probe4,snapkv,128,hotpotqa,56.86
llama3_8b,probe4,snapkv,128,lcc,59.23
llama3_8b,probe4,snapkv,128,multi_news,19.64
llama3_8b,probe4,snapkv,128,multifieldqa_en,52.45
llama3_8b,probe4,snapkv,128,musique,30.99
llama3_8b,probe4,snapkv,128,narrativeqa,29.37
llama3_8b,probe4,snapkv,128,passage_count,11.80
llama3_8b,probe4,snapkv,128,passage_retrieval_en,99.50
llama3_8b,probe4,snapkv,128,qasper,33.57
llama3_8b,probe4,snapkv,128,qmsum,23.09
llama3_8b,probe4,snapkv,128,repobench,53.16
llama3_8b,probe4,snapkv,128,samsum,40.04
llama3_8b,probe4,snapkv,128,trec,52.50
llama3_8b,probe4,snapkv,128,triviaqa,90.89
llama3_8b,probe8,laprox,128,2wikimqa,47.92
llama3_8b,probe8,laprox,128,gov_report,20.43
llama3_8b,probe8,laprox,128,hotpotqa,57.02
llama3_8b,probe8,laprox,128,lcc,59.23
llama3_8b,probe8,laprox,128,multi_news,19.70
llama3_8b,probe8,laprox,128,multifieldqa_en,53.09
llama3_8b,probe8,laprox,128,musique,30.38
llama3_8b,probe8,laprox,128,narrativeqa,28.58
llama3_8b,probe8,laprox,128,passage_count,12.00
llama3_8b,probe8,laprox,128,passage_retrieval_en,99.50
llama3_8b,probe8,laprox,128,qasper,34.43
llama3_8b,probe8,laprox,128,qmsum,23.35
llama3_8b,probe8,laprox,128,repobench,52.85
llama3_8b,probe8,laprox,128,samsum,40.25
llama3_8b,probe8,laprox,128,trec,54.00
llama3_8b,probe8,laprox,128,triviaqa,90.31
llama3_8b,probe8,snapkv,128,2wikimqa,47.11
llama3_8b,probe8,snapkv,128,gov_report,20.42
llama3_8b,probe8,snapkv,128,hotpotqa,57.30
llama3_8b,probe8,snapkv,128,lcc,59.81
llama3_8b,probe8,snapkv,128,multi_news,19.62
llama3_8b,probe8,snapkv,128,multifieldqa_en,52.64
llama3_8b,probe8,snapkv,128,musique,30.72
llama3_8b,probe8,snapkv,128,narrativeqa,29.38
llama3_8b,probe8,snapkv,128,passage_count,11.80
llama3_8b,probe8,snapkv,128,passage_retrieval_en,99.50
llama3_8b,probe8,snapkv,128,qasper,34.39
llama3_8b,probe8,snapkv,128,qmsum,23.40
llama3_8b,probe8,snapkv,128,repobench,53.44
llama3_8b,probe8,snapkv,128,samsum,40.15
llama3_8b,probe8,snapkv,128,trec,52.50
llama3_8b,probe8,snapkv,128,triviaqa,89.65
llama3_8b,rescue,h2o,128,2wikimqa,46.69
llama3_8b,rescue,h2o,128,gov_report,22.26
llama3_8b,rescue,h2o,128,hotpotqa,55.64
llama3_8b,rescue,h2o,128,lcc,59.60
llama3_8b,rescue,h2o,128,multi_news,22.35
llama3_8b,rescue,h2o,128,multifieldqa_en,49.72
llama3_8b,rescue,h2o,128,musique,31.15
llama3_8b,rescue,h2o,128,narrativeqa,30.59
llama3_8b,rescue,h2o,128,passage_count,12.00
llama3_8b,rescue,h2o,128,passage_retrieval_en,99.50
llama3_8b,rescue,h2o,128,qasper,30.51
llama3_8b,rescue,h2o,128,qmsum,23.12
llama3_8b,rescue,h2o,128,repobench,51.35
llama3_8b,rescue,h2o,128,samsum,40.72
llama3_8b,rescue,h2o,128,trec,63.50
llama3_8b,rescue,h2o,128,triviaqa,90.50
llama3_8b,rescue,h2o,256,2wikimqa,46.63
llama3_8b,rescue,h2o,256,gov_report,24.15
llama3_8b,rescue,h2o,256,hotpotqa,56.04
llama3_8b,rescue,h2o,256,lcc,61.92
llama3_8b,rescue,h2o,256,multi_news,24.03
llama3_8b,rescue,h2o,256,multifieldqa_en,54.60
llama3_8b,rescue,h2o,256,musique,31.67
llama3_8b,rescue,h2o,256,narrativeqa,29.94
llama3_8b,rescue,h2o,256,passage_count,11.92
llama3_8b,rescue,h2o,256,passage_retrieval_en,99.50
llama3_8b,rescue,h2o,256,qasper,36.70
llama3_8b,rescue,h2o,256,qmsum,23.56
llama3_8b,rescue,h2o,256,repobench,53.23
llama3_8b,rescue,h2o,256,samsum,40.94
llama3_8b,rescue,h2o,256,trec,67.50
llama3_8b,rescue,h2o,256,triviaqa,91.63
llama3_8b,rescue,h2o,1024,2wikimqa,47.52
llama3_8b,rescue,h2o,1024,gov_report,30.33
llama3_8b,rescue,h2o,1024,hotpotqa,56.98
llama3_8b,rescue,h2o,1024,lcc,64.31
llama3_8b,rescue,h2o,1024,multi_news,26.48
llama3_8b,rescue,h2o,1024,multifieldqa_en,56.40
llama3_8b,rescue,h2o,1024,musique,32.44
llama3_8b,rescue,h2o,1024,narrativeqa,29.81
llama3_8b,rescue,h2o,1024,passage_count,11.58
llama3_8b,rescue,h2o,1024,passage_retrieval_en,100.00
llama3_8b,rescue,h2o,1024,qasper,42.18
llama3_8b,rescue,h2o,1024,qmsum,24.89
llama3_8b,rescue,h2o,1024,repobench,58.25
llama3_8b,rescue,h2o,1024,samsum,42.32
llama3_8b,rescue,h2o,1024,trec,71.00
llama3_8b,rescue,h2o,1024,triviaqa,91.14
llama3_8b,rescue,laprox,128,2wikimqa,46.96
llama3_8b,rescue,laprox,128,gov_report,20.37
llama3_8b,rescue,laprox,128,hotpotqa,55.77
llama3_8b,rescue,laprox,128,lcc,58.08
llama3_8b,rescue,laprox,128,multi_news,19.39
llama3_8b,rescue,laprox,128,multifieldqa_en,52.92
llama3_8b,rescue,laprox,128,musique,29.97
llama3_8b,rescue,laprox,128,narrativeqa,29.23
llama3_8b,rescue,laprox,128,passage_count,12.00
llama3_8b,rescue,laprox,128,passage_retrieval_en,98.50
llama3_8b,rescue,laprox,128,qasper,32.55
llama3_8b,rescue,laprox,128,qmsum,22.97
llama3_8b,rescue,laprox,128,repobench,52.63
llama3_8b,rescue,laprox,128,samsum,40.35
llama3_8b,rescue,laprox,128,trec,54.00
llama3_8b,rescue,laprox,128,triviaqa,89.46
llama3_8b,rescue,laprox,256,2wikimqa,49.10
llama3_8b,rescue,laprox,256,gov_report,22.82
llama3_8b,rescue,laprox,256,hotpotqa,56.73
llama3_8b,rescue,laprox,256,lcc,62.58
llama3_8b,rescue,laprox,256,multi_news,21.71
llama3_8b,rescue,laprox,256,multifieldqa_en,54.05
llama3_8b,rescue,laprox,256,musique,31.27
llama3_8b,rescue,laprox,256,narrativeqa,30.49
llama3_8b,rescue,laprox,256,passage_count,11.80
llama3_8b,rescue,laprox,256,passage_retrieval_en,99.50
llama3_8b,rescue,laprox,256,qasper,36.50
llama3_8b,rescue,laprox,256,qmsum,23.90
llama3_8b,rescue,laprox,256,repobench,56.27
llama3_8b,rescue,laprox,256,samsum,41.78
llama3_8b,rescue,laprox,256,trec,60.50
llama3_8b,rescue,laprox,256,triviaqa,90.96
llama3_8b,rescue,laprox,1024,2wikimqa,48.59
llama3_8b,rescue,laprox,1024,gov_report,27.20
llama3_8b,rescue,laprox,1024,hotpotqa,57.69
llama3_8b,rescue,laprox,1024,lcc,64.68
llama3_8b,rescue,laprox,1024,multi_news,25.57
llama3_8b,rescue,laprox,1024,multifieldqa_en,56.39
llama3_8b,rescue,laprox,1024,musique,32.49
llama3_8b,rescue,laprox,1024,narrativeqa,29.83
llama3_8b,rescue,laprox,1024,passage_count,11.79
llama3_8b,rescue,laprox,1024,passage_retrieval_en,99.50
llama3_8b,rescue,laprox,1024,qasper,43.22
llama3_8b,rescue,laprox,1024,qmsum,24.65
llama3_8b,rescue,laprox,1024,repobench,58.05
llama3_8b,rescue,laprox,1024,samsum,41.91
llama3_8b,rescue,laprox,1024,trec,69.50
llama3_8b,rescue,laprox,1024,triviaqa,91.04
llama3_8b,rescue,lava,128,2wikimqa,47.76
llama3_8b,rescue,lava,128,gov_report,20.47
llama3_8b,rescue,lava,128,hotpotqa,56.89
llama3_8b,rescue,lava,128,lcc,60.07
llama3_8b,rescue,lava,128,multi_news,20.11
llama3_8b,rescue,lava,128,multifieldqa_en,52.35
llama3_8b,rescue,lava,128,musique,29.72
llama3_8b,rescue,lava,128,narrativeqa,29.03
llama3_8b,rescue,lava,128,passage_count,12.00
llama3_8b,rescue,lava,128,passage_retrieval_en,99.25
llama3_8b,rescue,lava,128,qasper,33.37
llama3_8b,rescue,lava,128,qmsum,23.54
llama3_8b,rescue,lava,128,repobench,54.26
llama3_8b,rescue,lava,128,samsum,40.08
llama3_8b,rescue,lava,128,trec,50.50
llama3_8b,rescue,lava,128,triviaqa,90.41
llama3_8b,rescue,lava,256,2wikimqa,48.24
llama3_8b,rescue,lava,256,gov_report,23.23
llama3_8b,rescue,lava,256,hotpotqa,56.65
llama3_8b,rescue,lava,256,lcc,63.07
llama3_8b,rescue,lava,256,multi_news,22.37
llama3_8b,rescue,lava,256,multifieldqa_en,55.05
llama3_8b,rescue,lava,256,musique,31.43
llama3_8b,rescue,lava,256,narrativeqa,29.38
llama3_8b,rescue,lava,256,passage_count,11.71
llama3_8b,rescue,lava,256,passage_retrieval_en,100.00
llama3_8b,rescue,lava,256,qasper,37.77
llama3_8b,rescue,lava,256,qmsum,24.53
llama3_8b,rescue,lava,256,repobench,56.07
llama3_8b,rescue,lava,256,samsum,42.09
llama3_8b,rescue,lava,256,trec,64.00
llama3_8b,rescue,lava,256,triviaqa,91.86
llama3_8b,rescue,lava,1024,2wikimqa,48.35
llama3_8b,rescue,lava,1024,gov_report,27.65
llama3_8b,rescue,lava,1024,hotpotqa,57.24
llama3_8b,rescue,lava,1024,lcc,64.07
llama3_8b,rescue,lava,1024,multi_news,25.56
llama3_8b,rescue,lava,1024,multifieldqa_en,55.26
llama3_8b,rescue,lava,1024,musique,32.17
llama3_8b,rescue,lava,1024,narrativeqa,30.20
llama3_8b,rescue,lava,1024,passage_count,11.58
llama3_8b,rescue,lava,1024,passage_retrieval_en,100.00
llama3_8b,rescue,lava,1024,qasper,43.61
llama3_8b,rescue,lava,1024,qmsum,24.78
llama3_8b,rescue,lava,1024,repobench,58.27
llama3_8b,rescue,lava,1024,samsum,42.65
llama3_8b,rescue,lava,1024,trec,72.00
llama3_8b,rescue,lava,1024,triviaqa,91.49
llama3_8b,rescue,rkv,128,2wikimqa,48.19
llama3_8b,rescue,rkv,128,gov_report,21.12
llama3_8b,rescue,rkv,128,hotpotqa,54.87
llama3_8b,rescue,rkv,128,lcc,59.05
llama3_8b,rescue,rkv,128,multi_news,19.92
llama3_8b,rescue,rkv,128,multifieldqa_en,52.69
llama3_8b,rescue,rkv,128,musique,29.55
llama3_8b,rescue,rkv,128,narrativeqa,28.63
llama3_8b,rescue,rkv,128,passage_count,11.88
llama3_8b,rescue,rkv,128,passage_retrieval_en,99.00
llama3_8b,rescue,rkv,128,qasper,33.25
llama3_8b,rescue,rkv,128,qmsum,22.78
llama3_8b,rescue,rkv,128,repobench,51.56
llama3_8b,rescue,rkv,128,samsum,40.46
llama3_8b,rescue,rkv,128,trec,61.00
llama3_8b,rescue,rkv,128,triviaqa,90.98
llama3_8b,rescue,rkv,256,2wikimqa,47.79
llama3_8b,rescue,rkv,256,gov_report,23.55
llama3_8b,rescue,rkv,256,hotpotqa,56.30
llama3_8b,rescue,rkv,256,lcc,61.31
llama3_8b,rescue,rkv,256,multi_news,22.69
llama3_8b,rescue,rkv,256,multifieldqa_en,55.06
llama3_8b,rescue,rkv,256,musique,31.59
llama3_8b,rescue,rkv,256,narrativeqa,29.47
llama3_8b,rescue,rkv,256,passage_count,11.67
llama3_8b,rescue,rkv,256,passage_retrieval_en,100.00
llama3_8b,rescue,rkv,256,qasper,36.33
llama3_8b,rescue,rkv,256,qmsum,23.61
llama3_8b,rescue,rkv,256,repobench,54.14
llama3_8b,rescue,rkv,256,samsum,41.80
llama3_8b,rescue,rkv,256,trec,65.50
llama3_8b,rescue,rkv,256,triviaqa,91.53
llama3_8b,rescue,rkv,1024,2wikimqa,47.72
llama3_8b,rescue,rkv,1024,gov_report,28.46
llama3_8b,rescue,rkv,1024,hotpotqa,57.13
llama3_8b,rescue,rkv,1024,lcc,63.61
llama3_8b,rescue,rkv,1024,multi_news,25.70
llama3_8b,rescue,rkv,1024,multifieldqa_en,55.95
llama3_8b,rescue,rkv,1024,musique,32.40
llama3_8b,rescue,rkv,1024,narrativeqa,29.13
llama3_8b,rescue,rkv,1024,passage_count,11.62
llama3_8b,rescue,rkv,1024,passage_retrieval_en,99.50
llama3_8b,rescue,rkv,1024,qasper,43.15
llama3_8b,rescue,rkv,1024,qmsum,24.75
llama3_8b,rescue,rkv,1024,repobench,57.41
llama3_8b,rescue,rkv,1024,samsum,42.88
llama3_8b,rescue,rkv,1024,trec,71.50
llama3_8b,rescue,rkv,1024,triviaqa,91.72
llama3_8b,rescue,snapkv,128,2wikimqa,47.07
llama3_8b,rescue,snapkv,128,gov_report,20.36
llama3_8b,rescue,snapkv,128,hotpotqa,57.21
llama3_8b,rescue,snapkv,128,lcc,59.12
llama3_8b,rescue,snapkv,128,multi_news,19.61
llama3_8b,rescue,snapkv,128,multifieldqa_en,52.32
llama3_8b,rescue,snapkv,128,musique,30.25
llama3_8b,rescue,snapkv,128,narrativeqa,28.10
llama3_8b,rescue,snapkv,128,passage_count,11.80
llama3_8b,rescue,snapkv,128,passage_retrieval_en,98.50
llama3_8b,rescue,snapkv,128,qasper,32.47
llama3_8b,rescue,snapkv,128,qmsum,23.00
llama3_8b,rescue,snapkv,128,repobench,52.76
llama3_8b,rescue,snapkv,128,samsum,40.56
llama3_8b,rescue,snapkv,128,trec,52.50
llama3_8b,rescue,snapkv,128,triviaqa,90.27
llama3_8b,rescue,snapkv,256,2wikimqa,49.73
llama3_8b,rescue,snapkv,256,gov_report,22.55
llama3_8b,rescue,snapkv,256,hotpotqa,57.16
llama3_8b,rescue,snapkv,256,lcc,61.69
llama3_8b,rescue,snapkv,256,multi_news,22.45
llama3_8b,rescue,snapkv,256,multifieldqa_en,53.44
llama3_8b,rescue,snapkv,256,musique,31.18
llama3_8b,rescue,snapkv,256,narrativeqa,29.64
llama3_8b,rescue,snapkv,256,passage_count,12.08
llama3_8b,rescue,snapkv,256,passage_retrieval_en,99.50
llama3_8b,rescue,snapkv,256,qasper,37.13
llama3_8b,rescue,snapkv,256,qmsum,24.02
llama3_8b,rescue,snapkv,256,repobench,54.96
llama3_8b,rescue,snapkv,256,samsum,41.11
llama3_8b,rescue,snapkv,256,trec,59.00
llama3_8b,rescue,snapkv,256,triviaqa,91.53
llama3_8b,rescue,snapkv,1024,2wikimqa,48.62
llama3_8b,rescue,snapkv,1024,gov_report,27.10
llama3_8b,rescue,snapkv,1024,hotpotqa,57.41
llama3_8b,rescue,snapkv,1024,lcc,63.74
llama3_8b,rescue,snapkv,1024,multi_news,25.36
llama3_8b,rescue,snapkv,1024,multifieldqa_en,56.00
llama3_8b,rescue,snapkv,1024,musique,32.06
llama3_8b,rescue,snapkv,1024,narrativeqa,30.16
llama3_8b,rescue,snapkv,1024,passage_count,11.71
llama3_8b,rescue,snapkv,1024,passage_retrieval_en,100.00
llama3_8b,rescue,snapkv,1024,qasper,42.51
llama3_8b,rescue,snapkv,1024,qmsum,24.97
llama3_8b,rescue,snapkv,1024,repobench,58.17
llama3_8b,rescue,snapkv,1024,samsum,42.12
llama3_8b,rescue,snapkv,1024,trec,69.50
llama3_8b,rescue,snapkv,1024,triviaqa,91.77
llama3_8b,rescue_ungated,h2o,128,2wikimqa,46.64
llama3_8b,rescue_ungated,h2o,128,gov_report,20.64
llama3_8b,rescue_ungated,h2o,128,hotpotqa,55.44
llama3_8b,rescue_ungated,h2o,128,lcc,58.77
llama3_8b,rescue_ungated,h2o,128,multi_news,21.51
llama3_8b,rescue_ungated,h2o,128,multifieldqa_en,50.24
llama3_8b,rescue_ungated,h2o,128,musique,30.48
llama3_8b,rescue_ungated,h2o,128,narrativeqa,30.77
llama3_8b,rescue_ungated,h2o,128,passage_count,12.00
llama3_8b,rescue_ungated,h2o,128,passage_retrieval_en,99.50
llama3_8b,rescue_ungated,h2o,128,qasper,30.65
llama3_8b,rescue_ungated,h2o,128,qmsum,22.89
llama3_8b,rescue_ungated,h2o,128,repobench,52.19
llama3_8b,rescue_ungated,h2o,128,samsum,40.06
llama3_8b,rescue_ungated,h2o,128,trec,50.00
llama3_8b,rescue_ungated,h2o,128,triviaqa,90.24
llama3_8b,rescue_ungated,laprox,128,2wikimqa,47.16
llama3_8b,rescue_ungated,laprox,128,gov_report,20.53
llama3_8b,rescue_ungated,laprox,128,hotpotqa,56.37
llama3_8b,rescue_ungated,laprox,128,lcc,55.87
llama3_8b,rescue_ungated,laprox,128,multi_news,18.96
llama3_8b,rescue_ungated,laprox,128,multifieldqa_en,52.87
llama3_8b,rescue_ungated,laprox,128,musique,30.25
llama3_8b,rescue_ungated,laprox,128,narrativeqa,29.38
llama3_8b,rescue_ungated,laprox,128,passage_count,12.00
llama3_8b,rescue_ungated,laprox,128,passage_retrieval_en,99.00
llama3_8b,rescue_ungated,laprox,128,qasper,34.82
llama3_8b,rescue_ungated,laprox,128,qmsum,23.14
llama3_8b,rescue_ungated,laprox,128,repobench,49.03
llama3_8b,rescue_ungated,laprox,128,samsum,36.82
llama3_8b,rescue_ungated,laprox,128,trec,53.50
llama3_8b,rescue_ungated,laprox,128,triviaqa,90.43
llama3_8b,rescue_ungated,lava,128,2wikimqa,47.84
llama3_8b,rescue_ungated,lava,128,gov_report,20.79
llama3_8b,rescue_ungated,lava,128,hotpotqa,56.71
llama3_8b,rescue_ungated,lava,128,lcc,59.00
llama3_8b,rescue_ungated,lava,128,multi_news,19.89
llama3_8b,rescue_ungated,lava,128,multifieldqa_en,53.20
llama3_8b,rescue_ungated,lava,128,musique,30.20
llama3_8b,rescue_ungated,lava,128,narrativeqa,28.98
llama3_8b,rescue_ungated,lava,128,passage_count,12.00
llama3_8b,rescue_ungated,lava,128,passage_retrieval_en,99.00
llama3_8b,rescue_ungated,lava,128,qasper,34.93
llama3_8b,rescue_ungated,lava,128,qmsum,23.63
llama3_8b,rescue_ungated,lava,128,repobench,52.57
llama3_8b,rescue_ungated,lava,128,samsum,38.53
llama3_8b,rescue_ungated,lava,128,trec,49.00
llama3_8b,rescue_ungated,lava,128,triviaqa,88.92
llama3_8b,rescue_ungated,rkv,128,2wikimqa,47.49
llama3_8b,rescue_ungated,rkv,128,gov_report,21.12
llama3_8b,rescue_ungated,rkv,128,hotpotqa,55.10
llama3_8b,rescue_ungated,rkv,128,lcc,56.13
llama3_8b,rescue_ungated,rkv,128,multi_news,19.62
llama3_8b,rescue_ungated,rkv,128,multifieldqa_en,53.40
llama3_8b,rescue_ungated,rkv,128,musique,28.89
llama3_8b,rescue_ungated,rkv,128,narrativeqa,29.30
llama3_8b,rescue_ungated,rkv,128,passage_count,11.88
llama3_8b,rescue_ungated,rkv,128,passage_retrieval_en,99.00
llama3_8b,rescue_ungated,rkv,128,qasper,34.34
llama3_8b,rescue_ungated,rkv,128,qmsum,23.39
llama3_8b,rescue_ungated,rkv,128,repobench,49.37
llama3_8b,rescue_ungated,rkv,128,samsum,37.45
llama3_8b,rescue_ungated,rkv,128,trec,52.00
llama3_8b,rescue_ungated,rkv,128,triviaqa,90.90
llama3_8b,rescue_ungated,snapkv,128,2wikimqa,47.16
llama3_8b,rescue_ungated,snapkv,128,gov_report,20.84
llama3_8b,rescue_ungated,snapkv,128,hotpotqa,56.37
llama3_8b,rescue_ungated,snapkv,128,lcc,57.63
llama3_8b,rescue_ungated,snapkv,128,multi_news,19.68
llama3_8b,rescue_ungated,snapkv,128,multifieldqa_en,52.20
llama3_8b,rescue_ungated,snapkv,128,musique,31.29
llama3_8b,rescue_ungated,snapkv,128,narrativeqa,28.79
llama3_8b,rescue_ungated,snapkv,128,passage_count,11.80
llama3_8b,rescue_ungated,snapkv,128,passage_retrieval_en,98.00
llama3_8b,rescue_ungated,snapkv,128,qasper,33.38
llama3_8b,rescue_ungated,snapkv,128,qmsum,23.09
llama3_8b,rescue_ungated,snapkv,128,repobench,50.79
llama3_8b,rescue_ungated,snapkv,128,samsum,36.52
llama3_8b,rescue_ungated,snapkv,128,trec,48.50
llama3_8b,rescue_ungated,snapkv,128,triviaqa,90.24
llama3_8b,seed1,h2o,128,lcc,59.19
llama3_8b,seed1,h2o,128,qasper,29.94
llama3_8b,seed1,h2o,128,trec,62.50
llama3_8b,seed1,rkv,128,lcc,59.27
llama3_8b,seed1,rkv,128,qasper,31.10
llama3_8b,seed1,rkv,128,trec,61.00
llama3_8b,seed2,h2o,128,lcc,58.60
llama3_8b,seed2,h2o,128,qasper,32.61
llama3_8b,seed2,h2o,128,trec,64.00
llama3_8b,seed2,rkv,128,lcc,59.91
llama3_8b,seed2,rkv,128,qasper,32.83
llama3_8b,seed2,rkv,128,trec,61.00
mistral_7b,base,h2o,128,2wikimqa,31.75
mistral_7b,base,h2o,128,gov_report,25.42
mistral_7b,base,h2o,128,hotpotqa,43.99
mistral_7b,base,h2o,128,lcc,54.93
mistral_7b,base,h2o,128,multi_news,23.14
mistral_7b,base,h2o,128,multifieldqa_en,34.84
mistral_7b,base,h2o,128,musique,22.51
mistral_7b,base,h2o,128,narrativeqa,21.84
mistral_7b,base,h2o,128,passage_count,4.00
mistral_7b,base,h2o,128,passage_retrieval_en,64.50
mistral_7b,base,h2o,128,qasper,25.35
mistral_7b,base,h2o,128,qmsum,21.64
mistral_7b,base,h2o,128,repobench,52.16
mistral_7b,base,h2o,128,samsum,39.04
mistral_7b,base,h2o,128,trec,66.00
mistral_7b,base,h2o,128,triviaqa,84.97
mistral_7b,base,laprox,128,2wikimqa,34.83
mistral_7b,base,laprox,128,gov_report,20.99
mistral_7b,base,laprox,128,hotpotqa,48.97
mistral_7b,base,laprox,128,lcc,56.66
mistral_7b,base,laprox,128,multi_news,19.96
mistral_7b,base,laprox,128,multifieldqa_en,47.23
mistral_7b,base,laprox,128,musique,25.20
mistral_7b,base,laprox,128,narrativeqa,24.74
mistral_7b,base,laprox,128,passage_count,5.50
mistral_7b,base,laprox,128,passage_retrieval_en,89.50
mistral_7b,base,laprox,128,qasper,24.05
mistral_7b,base,laprox,128,qmsum,22.58
mistral_7b,base,laprox,128,repobench,54.83
mistral_7b,base,laprox,128,samsum,43.35
mistral_7b,base,laprox,128,trec,53.00
mistral_7b,base,laprox,128,triviaqa,89.08
mistral_7b,base,lava,128,2wikimqa,34.28
mistral_7b,base,lava,128,gov_report,21.98
mistral_7b,base,lava,128,hotpotqa,47.14
mistral_7b,base,lava,128,lcc,57.14
mistral_7b,base,lava,128,multi_news,20.49
mistral_7b,base,lava,128,multifieldqa_en,46.41
mistral_7b,base,lava,128,musique,24.39
mistral_7b,base,lava,128,narrativeqa,23.62
mistral_7b,base,lava,128,passage_count,4.00
mistral_7b,base,lava,128,passage_retrieval_en,90.50
mistral_7b,base,lava,128,qasper,26.29
mistral_7b,base,lava,128,qmsum,22.50
mistral_7b,base,lava,128,repobench,56.65
mistral_7b,base,lava,128,samsum,43.84
mistral_7b,base,lava,128,trec,52.50
mistral_7b,base,lava,128,triviaqa,89.04
mistral_7b,base,rkv,128,2wikimqa,33.74
mistral_7b,base,rkv,128,gov_report,22.52
mistral_7b,base,rkv,128,hotpotqa,46.36
mistral_7b,base,rkv,128,lcc,55.77
mistral_7b,base,rkv,128,multi_news,20.64
mistral_7b,base,rkv,128,multifieldqa_en,47.30
mistral_7b,base,rkv,128,musique,24.47
mistral_7b,base,rkv,128,narrativeqa,23.91
mistral_7b,base,rkv,128,passage_count,4.50
mistral_7b,base,rkv,128,passage_retrieval_en,86.50
mistral_7b,base,rkv,128,qasper,28.97
mistral_7b,base,rkv,128,qmsum,22.78
mistral_7b,base,rkv,128,repobench,53.70
mistral_7b,base,rkv,128,samsum,42.86
mistral_7b,base,rkv,128,trec,67.00
mistral_7b,base,rkv,128,triviaqa,88.94
mistral_7b,base,snapkv,128,2wikimqa,32.63
mistral_7b,base,snapkv,128,gov_report,20.95
mistral_7b,base,snapkv,128,hotpotqa,46.09
mistral_7b,base,snapkv,128,lcc,55.60
mistral_7b,base,snapkv,128,multi_news,19.61
mistral_7b,base,snapkv,128,multifieldqa_en,42.69
mistral_7b,base,snapkv,128,musique,21.08
mistral_7b,base,snapkv,128,narrativeqa,21.73
mistral_7b,base,snapkv,128,passage_count,5.00
mistral_7b,base,snapkv,128,passage_retrieval_en,91.50
mistral_7b,base,snapkv,128,qasper,23.70
mistral_7b,base,snapkv,128,qmsum,21.82
mistral_7b,base,snapkv,128,repobench,54.60
mistral_7b,base,snapkv,128,samsum,42.59
mistral_7b,base,snapkv,128,trec,44.50
mistral_7b,base,snapkv,128,triviaqa,89.53
mistral_7b,dense,,0,2wikimqa,38.92
mistral_7b,dense,,0,gov_report,34.25
mistral_7b,dense,,0,hotpotqa,50.59
mistral_7b,dense,,0,lcc,61.60
mistral_7b,dense,,0,multi_news,26.59
mistral_7b,dense,,0,multifieldqa_en,50.62
mistral_7b,dense,,0,musique,28.75
mistral_7b,dense,,0,narrativeqa,26.95
mistral_7b,dense,,0,passage_count,7.00
mistral_7b,dense,,0,passage_retrieval_en,98.00
mistral_7b,dense,,0,qasper,38.47
mistral_7b,dense,,0,qmsum,25.78
mistral_7b,dense,,0,repobench,62.84
mistral_7b,dense,,0,samsum,47.79
mistral_7b,dense,,0,trec,76.00
mistral_7b,dense,,0,triviaqa,88.89
mistral_7b,rescue,laprox,128,multi_news,20.13
qwen3_8b,base,h2o,128,2wikimqa,36.55
qwen3_8b,base,h2o,128,gov_report,25.86
qwen3_8b,base,h2o,128,hotpotqa,50.49
qwen3_8b,base,h2o,128,lcc,63.43
qwen3_8b,base,h2o,128,multi_news,21.09
qwen3_8b,base,h2o,128,multifieldqa_en,35.56
qwen3_8b,base,h2o,128,musique,27.02
qwen3_8b,base,h2o,128,narrativeqa,18.11
qwen3_8b,base,h2o,128,passage_count,2.00
qwen3_8b,base,h2o,128,passage_retrieval_en,64.00
qwen3_8b,base,h2o,128,qasper,32.54
qwen3_8b,base,h2o,128,qmsum,20.98
qwen3_8b,base,h2o,128,repobench,56.04
qwen3_8b,base,h2o,128,samsum,37.39
qwen3_8b,base,h2o,128,trec,59.00
qwen3_8b,base,h2o,128,triviaqa,83.49
qwen3_8b,base,laprox,128,2wikimqa,40.46
qwen3_8b,base,laprox,128,gov_report,17.25
qwen3_8b,base,laprox,128,hotpotqa,55.24
qwen3_8b,base,laprox,128,lcc,64.69
qwen3_8b,base,laprox,128,multi_news,16.12
